縣市,地區,AQI,空氣品質
基隆市,基隆,43,良好
新北市,汐止,48,良好
新北市,萬里,45,良好
新北市,新店,38,良好
新北市,土城,42,良好
新北市,板橋,48,良好
新北市,新莊,49,良好
新北市,菜寮,42,良好
新北市,林口,32,良好
新北市,淡水,34,良好
臺北市,士林,41,良好
臺北市,中山,45,良好
臺北市,萬華,41,良好
臺北市,古亭,53,普通
臺北市,松山,45,良好
臺北市,大同,60,普通
桃園市,桃園,47,良好
桃園市,大園,52,普通
桃園市,觀音,54,普通
桃園市,平鎮,36,良好
桃園市,龍潭,47,良好
新竹縣,湖口,52,普通
新竹縣,竹東,43,良好
新竹市,新竹,48,良好
苗栗縣,頭份,47,良好
苗栗縣,苗栗,53,普通
苗栗縣,三義,60,普通
臺中市,豐原,58,普通
臺中市,沙鹿,67,普通
臺中市,大里,65,普通
臺中市,忠明,67,普通
臺中市,西屯,76,普通
彰化縣,彰化,84,普通
彰化縣,線西,78,普通
彰化縣,二林,86,普通
南投縣,南投,62,普通
雲林縣,斗六,92,普通
雲林縣,崙背,97,普通
嘉義縣,新港,105,對敏感族群不健康
嘉義縣,朴子,85,普通
雲林縣,臺西,71,普通
嘉義市,嘉義,86,普通
臺南市,新營,86,普通
臺南市,善化,73,普通
臺南市,安南,87,普通
臺南市,臺南,78,普通
高雄市,美濃,62,普通
高雄市,橋頭,106,對敏感族群不健康
高雄市,仁武,93,普通
高雄市,鳳山,76,普通
高雄市,大寮,91,普通
高雄市,林園,84,普通
高雄市,楠梓,90,普通
高雄市,左營,80,普通
高雄市,前金,87,普通
高雄市,前鎮,72,普通
高雄市,小港,81,普通
屏東縣,屏東,82,普通
屏東縣,潮州,79,普通
屏東縣,恆春,26,良好
臺東縣,臺東,19,良好
花蓮縣,花蓮,32,良好
臺北市,陽明,34,良好
宜蘭縣,宜蘭,45,良好
宜蘭縣,冬山,41,良好
新北市,三重,48,良好
桃園市,中壢,55,普通
南投縣,竹山,65,普通
新北市,永和,52,普通
高雄市,復興,76,普通
南投縣,埔里,68,普通
連江縣,馬祖,49,良好
金門縣,金門,63,普通
澎湖縣,馬公,41,良好
臺東縣,關山,20,良好
雲林縣,麥寮,82,普通
新北市,富貴角,41,良好
彰化縣,大城,66,普通
彰化縣,彰化(員林),83,普通
高雄市,高雄(湖內),78,普通
臺南市,臺南(麻豆),77,普通
屏東縣,屏東(琉球),104,對敏感族群不健康
桃園市,桃園(三民),42,良好
新北市,新北(樹林),58,普通
屏東縣,屏東(枋山),62,普通
